Industry,Date,StartupName,IndustryVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,value
Industry,2/8/2017,Leverage Edu,Consumer Internet,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,0.0,1
Industry,2/8/2017,Zepo,Consumer Internet,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,500000.0,1
Industry,2/8/2017,Click2Clinic,Consumer Internet,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,850000.0,1
Industry,1/7/2017,Billion Loans,Consumer Internet,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000.0,1
Industry,4/7/2017,Droom,eCommerce,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000.0,1
Industry,5/7/2017,Jumbotail,eCommerce,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000.0,1
Industry,5/7/2017,Moglix,eCommerce,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000.0,1
Industry,5/7/2017,Timesaverz,Consumer Internet,Mumbai,BCCL,Private Equity,1000000.0,1
Industry,6/7/2017,MyCity4kids,Consumer Internet,Gurgaon,,Seed Funding,0.0,1
Industry,7/7/2017,Clip App,Consumer Internet,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,1000000.0,1
Industry,7/7/2017,Upwardly.in,Consumer Internet,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,0.0,1
Industry,11/7/2017,Fabogo,Consumer Internet,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000.0,1
Industry,11/7/2017,Flickstree,Consumer Internet,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000.0,1
Industry,11/7/2017,Design Cafe,Consumer Internet,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,0.0,1
Industry,14/07/2017,Chumbak,eCommerce,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,1700000.0,1
Industry,18/07/2017,Ambee,Consumer Internet,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,0.0,1
Industry,18/07/2017,Ideal Insurance,Consumer Internet,Kolkata,Xelpmoc,Seed Funding,0.0,1
Industry,19/07/2017,Rentomojo,Consumer Internet,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,10000000.0,1
Industry,19/07/2017,AirCTO,Consumer Internet,Bangalore,Francesco Cara,Seed Funding,0.0,1
Industry,21/07/2017,Brick2Wall,eCommerce,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,200000.0,1
Industry,21/07/2017,FableStreet,eCommerce,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,0.0,1
Industry,21/07/2017,MonkeyBox,Consumer Internet,Bangalore,"Blume Ventures, NB Ventures, Nspira",Seed Funding,0.0,1
